,B,C,Al,Si,P,Mn,Fe,Co,Ni,Cu,Ga,Zr,Nb,Mo,Sn,Annealing Time (s),Annealing Temperature (K),Thickness (um),Tc (K)
Fe69.5Co0.5Mn10Mo5B15,15,0,0,0,0,10,69.5,0.5,0,0,0,0,0,5,0,0,0,20,370
Fe80Ni6Zr7Nb2B4Cu1,4,0,0,0,0,0,80,0,6,1,0,7,2,0,0,0,0,20,374
Fe90Zr7B3,3,0,0,0,0,0,90,0,0,0,0,7,0,0,0,3600,873.25952,20,388.64693
Fe69.5Co0.5Mn10Mo5B15,15,0,0,0,0,10,69.5,0.5,0,0,0,0,0,5,0,1800,723,20,389
Fe90Zr7B3,3,0,0,0,0,0,90,0,0,0,0,7,0,0,0,3600,822.85321,20,389.68647
Fe84Nb7B9,9,0,0,0,0,0,84,0,0,0,0,0,7,0,0,3600,821.88695,22,389.68647
Fe84Nb7B9,9,0,0,0,0,0,84,0,0,0,0,0,7,0,0,3600,924.63209,22,393.84462
Fe84Nb7B9,9,0,0,0,0,0,84,0,0,0,0,0,7,0,0,3600,873.09848,22,394.19113
Fe80Co6Zr7Nb2B4Cu1,4,0,0,0,0,0,80,6,0,1,0,7,2,0,0,600,600,20,396
Fe88.65Co1.35Zr7B3,3,0,0,0,0,0,88.65,1.35,0,0,0,7,0,0,0,3600,752.96075,19,399.56208
Fe80Co6Zr7Nb2B4Cu1,4,0,0,0,0,0,80,6,0,1,0,7,2,0,0,600,700,20,402
Fe51Co12Si16B8Mo5P8,8,0,0,16,8,0,51,12,0,0,0,0,0,5,0,0,0,25,403
Fe51Co12Si16B8Mo5P8,8,0,0,16,8,0,51,12,0,0,0,0,0,5,0,573,573,25,405
Fe80Co6Zr7Nb2B4Cu1,4,0,0,0,0,0,80,6,0,1,0,7,2,0,0,0,0,20,420
Fe51Co12Si16B8Mo5P8,8,0,0,16,8,0,51,12,0,0,0,0,0,5,0,3600,773,25,421
Fe88.65Co1.35Zr7B3,3,0,0,0,0,0,88.65,1.35,0,0,0,7,0,0,0,3600,772.76898,19,421.91215
Fe88.65Co1.35Zr7B3,3,0,0,0,0,0,88.65,1.35,0,0,0,7,0,0,0,3600,822.85321,19,425.20402
Fe76Mo8Cu1B15,15,0,0,0,0,0,76,0,0,1,0,0,0,8,0,1800,743.02931,25,429.95992
Fe84B8P3.75Si1.75Mo2Cu0.5,8,0,0,1.75,3.75,0,84,0,0,0.5,0,0,0,2,0,0,0,20,463
Fe84B8P4Si2Mo2,8,0,0,2,4,0,84,0,0,0,0,0,0,2,0,0,0,20,470
Fe84B8P3.5Si1.5Mo2Cu1,8,0,0,1.5,3.5,0,84,0,0,1,0,0,0,2,0,0,0,20,488
Fe75.5Cu1Nb1Si13.5B9,9,0,0,13.5,0,0,75.5,0,0,1,0,0,1,0,0,1800,753,22.5,541
Fe74Al4Sn2P12Si4B4,4,0,4,4,12,0,74,0,0,0,0,0,0,0,2,0,0,30,546.83811
Fe85B8P3.5Si1.5Mo1Cu1,8,0,0,1.5,3.5,0,85,0,0,1,0,0,0,1,0,0,0,20,548
Fe74Al4Sn2P10Si4B4C2,4,2,4,4,10,0,74,0,0,0,0,0,0,0,2,0,0,30,557.82011
Fe75.5Cu1Nb1Si13.5B9,9,0,0,13.5,0,0,75.5,0,0,1,0,0,1,0,0,1800,738,22.5,558
Fe85B10C3Si1P1,10,3,0,1,1,0,85,0,0,0,0,0,0,0,0,0,0,20,559
Fe85B9C4Si1P1,9,4,0,1,1,0,85,0,0,0,0,0,0,0,0,0,0,20,564
Fe85B8Si4P3,8,0,0,4,3,0,85,0,0,0,0,0,0,0,0,0,0,20,565
Fe85B11C2Si1P1,11,2,0,1,1,0,85,0,0,0,0,0,0,0,0,0,0,20,565
Fe85B10C2Si2P1,10,2,0,2,1,0,85,0,0,0,0,0,0,0,0,0,0,20,566
Fe75.5Cu1Nb1Si13.5B9,9,0,0,13.5,0,0,75.5,0,0,1,0,0,1,0,0,1800,773,22.5,568
Fe70Si3Al5Ga2P10C5B5,5,5,5,3,10,0,70,0,0,0,2,0,0,0,0,0,0,25,568
Fe85B9C3Si2P1,9,3,0,2,1,0,85,0,0,0,0,0,0,0,0,0,0,20,568
Fe85B8C4Si2P1,8,4,0,2,1,0,85,0,0,0,0,0,0,0,0,0,0,20,568
Fe83.2P10C6Cu0.8,0,6,0,0,10,0,83.2,0,0,0.8,0,0,0,0,0,0,0,26,568.31833
Fe85B9C2Si3P1,9,2,0,3,1,0,85,0,0,0,0,0,0,0,0,0,0,20,569
Fe85B7C4Si3P1,7,4,0,3,1,0,85,0,0,0,0,0,0,0,0,0,0,20,570
Fe83.2P9B1C6Cu0.8,1,6,0,0,9,0,83.2,0,0,0.8,0,0,0,0,0,0,0,26,572.82734
Fe85B8C3Si3P1,8,3,0,3,1,0,85,0,0,0,0,0,0,0,0,0,0,20,574
Fe84B13Si1C1Cu1,13,1,0,1,0,0,84,0,0,1,0,0,0,0,0,0,0,25,575
Fe70Si3Al5Ga2P10C5B5,5,5,5,3,10,0,70,0,0,0,2,0,0,0,0,235.37198,575,25,576.30568
Fe75.5Cu1Nb1Si13.5B9,9,0,0,13.5,0,0,75.5,0,0,1,0,0,1,0,0,1800,798,22.5,578
Fe84B8.5Si4.5P3,8.5,0,0,4.5,3,0,84,0,0,0,0,0,0,0,0,0,0,20,581
Fe83.2P8B2C6Cu0.8,2,6,0,0,8,0,83.2,0,0,0.8,0,0,0,0,0,0,0,26,581.34437
Fe70Si3Al5Ga2P10C5B5,5,5,5,3,10,0,70,0,0,0,2,0,0,0,0,3857.04793,575,25,582.37
Fe84B10C4Si1P1,10,4,0,1,1,0,84,0,0,0,0,0,0,0,0,0,0,20,583
Fe84Si3B13,13,0,0,3,0,0,84,0,0,0,0,0,0,0,0,0,0,30,583
Fe84B9C4Si2P1,9,4,0,2,1,0,84,0,0,0,0,0,0,0,0,0,0,20,584
Fe78Mo1B7C3P10Si1,7,3,0,1,10,0,78,0,0,0,0,0,0,1,0,0,0,18,585
Fe78Mo1B9P9Si3,9,0,0,3,9,0,78,0,0,0,0,0,0,1,0,0,0,17.5,585
Fe83.2P7B3C6Cu0.8,3,6,0,0,7,0,83.2,0,0,0.8,0,0,0,0,0,0,0,26,585.25218
Fe70Si3Al5Ga2P10C5B5,5,5,5,3,10,0,70,0,0,0,2,0,0,0,0,3852.2021,675,25,586.55
Fe73.5Cu1Nb3Si15B7.5,7.5,0,0,15,0,0,73.5,0,0,1,0,0,3,0,0,0,0,21,586.72532
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,73.5,0,0,1,0,0,3,0,0,0,0,20,587
Fe84B12C2Si1P1,12,2,0,1,1,0,84,0,0,0,0,0,0,0,0,0,0,20,587
Fe84B10C3Si2P1,10,3,0,2,1,0,84,0,0,0,0,0,0,0,0,0,0,20,587
Fe70Si3Al5Ga2P10C5B5,5,5,5,3,10,0,70,0,0,0,2,0,0,0,0,984.59627,575,25,587.95192
Fe84B11C2Si2P1,11,2,0,2,1,0,84,0,0,0,0,0,0,0,0,0,0,20,588
Fe83.2P6B4C6Cu0.8,4,6,0,0,6,0,83.2,0,0,0.8,0,0,0,0,0,0,0,26,588.05779
Fe83.2P5B5C6Cu0.8,5,6,0,0,5,0,83.2,0,0,0.8,0,0,0,0,0,0,0,26,588.35839
Fe84B8C4Si3P1,8,4,0,3,1,0,84,0,0,0,0,0,0,0,0,0,0,20,589
Fe66.3Co11.7Mo1B3C7P10Si1,3,7,0,1,10,0,66.3,11.7,0,0,0,0,0,1,0,0,0,18,589
Fe84B9C3Si3P1,9,3,0,3,1,0,84,0,0,0,0,0,0,0,0,0,0,20,592
Fe76.55B13.79Si6.9Zr2.76,13.79,0,0,6.9,0,0,76.55,0,0,0,0,2.76,0,0,0,0,0,20,592
Fe62.4Co15.6Mo1B3C7P10Si1,3,7,0,1,10,0,62.4,15.6,0,0,0,0,0,1,0,0,0,18,593
Fe72B14.4Si9.6Nb4,14.4,0,0,9.6,0,0,72,0,0,0,0,0,4,0,0,0,0,30,593
Fe79.76P8.973C8.973B1.994Cu0.3,1.994,8.973,0,0,8.973,0,79.76,0,0,0.3,0,0,0,0,0,0,0,30,593
Fe79.6P8.955C8.955B1.99Cu0.5,1.99,8.955,0,0,8.955,0,79.6,0,0,0.5,0,0,0,0,0,0,0,30,593
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,73.5,0,0,1,0,0,3,0,0,60,633,20,593.79267
Fe73.5Cu1Nb3Si15B7.5,7.5,0,0,15,0,0,73.5,0,0,1,0,0,3,0,0,60,633,21,593.81583
Fe75.71B14.29Si7.14Zr2.86,14.29,0,0,7.14,0,0,75.71,0,0,0,0,2.86,0,0,0,0,0,20,594
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,73.5,0,0,1,0,0,3,0,0,60,653,20,594.57478
Fe73.5Cu1Nb3Si15B7.5,7.5,0,0,15,0,0,73.5,0,0,1,0,0,3,0,0,240,633,21,594.67653
Fe74Al4Sn2P6Si4B4C6,4,6,4,4,6,0,74,0,0,0,0,0,0,0,2,0,0,30,594.85243
Fe80P9C9B2,2,9,0,0,9,0,80,0,0,0,0,0,0,0,0,0,0,30,595
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,73.5,0,0,1,0,0,3,0,0,480,633,20,595.43511
Fe73.5Nb3Cu1Si13.5B9,9,0,0,13.5,0,0,73.5,0,0,1,0,0,3,0,0,480,653,20,595.94348
Fe79.44P8.937C8.937B1.986Cu0.7,1.986,8.937,0,0,8.937,0,79.44,0,0,0.7,0,0,0,0,0,0,0,30,596
Fe79.92P8.991C8.991B1.998Cu0.1,1.998,8.991,0,0,8.991,0,79.92,0,0,0.1,0,0,0,0,0,0,0,30,597
Fe79.2P8.91C8.91B1.98Cu1,1.98,8.91,0,0,8.91,0,79.2,0,0,1,0,0,0,0,0,0,0,30,597
