Composition (at. %),VEC1,VEC,Electronegativity,Tm/K,δ/nm,B,C,Al,Si,P,Cr,Fe,Co,Ni,Cu,Ga,Y,Zr,Nb,Mo,Sn,Sb,Pr,Nd,Sm,Gd,Tb,Dy,Er,Tm,Hf,Ta,Bs/T,T/K
Fe83Si2B11P3C1,0.6,7.24,1.8725,1863.9,0.00403,0.11,0.01,0,0.02,0.03,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,727
Fe80P13C7,0.93,7.33,1.9272,1847.92,0.00524,0,0.07,0,0,0.13,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477,696
Fe80P11C9,0.91,7.31,1.9344,1912.64,0.00588,0,0.09,0,0,0.11,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,720
Fe75B16.67Si8.33,0.833299999999999,6.8333,1.870838,1893.0226,0.005084,0.1667,0,0,0.0833,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,839
Fe76C7.0Si3.3B5P8.7,0.997,7.077,1.92453,1912.292,0.006176,0.05,0.07,0,0.033,0.087,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,795
Fe79P10C4B4Si3,0.4,6.72,1.6863,1739.86,0.00317,0.04,0.04,0,0.03,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,774
Fe76Si9.6B8.4P6,0.936,7.016,1.87596,1788.752,0.00384,0.084,0,0,0.096,0.06,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,832
Fe76Si9.6B9.6P4.8,0.912,6.992,1.87416,1806.776,0.003984,0.096,0,0,0.096,0.048,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,826
Fe78Si9B13,0.75,6.99,1.8636,1871.86,0.00414,0.13,0,0,0.09,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,no
Fe80P9C9B2,0.87,7.27,1.9314,1942.68,0.00612,0.02,0.09,0,0,0.09,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,733
